icao24,airline_code,origin_country,flight_phase,is_local_fleet,velocity,hour_of_day,day_of_week,retrieval_time
010204,MSR,Egypt,Grounded,0,7.46,12,Sunday,2026-04-05 12:30:02
010209,MSR,Egypt,Grounded,0,10.29,12,Tuesday,2026-03-31 12:15:02
010209,MSR,Egypt,Descending,0,66.65,12,Tuesday,2026-04-07 12:00:02
01020a,MSR,Egypt,Grounded,0,9.26,12,Saturday,2026-04-04 12:30:02
01020b,MSR,Egypt,Grounded,0,5.14,13,Sunday,2026-03-29 13:15:02
06a2e5,QTR,Qatar,Grounded,0,10.8,14,Friday,2026-04-03 14:15:02
06a2e5,QTR,Qatar,Climbing,0,88.9,12,Saturday,2026-04-04 12:15:01
06a2ee,QTR,Qatar,Grounded,0,12.35,14,Wednesday,2026-04-01 14:15:02
06a2ee,QTR,Qatar,Grounded,0,4.63,12,Thursday,2026-04-02 12:30:02
06a2f5,QTR,Qatar,Grounded,0,4.12,7,Saturday,2026-04-04 07:15:01
06a2f5,QTR,Qatar,Grounded,0,8.23,10,Thursday,2026-04-09 10:00:02
06a2f8,QTR,Qatar,Descending,0,83.18,15,Wednesday,2026-04-08 15:00:01
300a63,ITY,Italy,Climbing,0,215.27,16,Saturday,2026-04-04 16:15:02
341446,BCS,Spain,Grounded,0,9.26,3,Wednesday,2026-04-01 03:30:02
341446,BCS,Spain,Grounded,0,0.0,20,Thursday,2026-04-09 20:15:01
341446,BCS,Spain,Climbing,0,142.12,20,Thursday,2026-04-09 20:30:01
3420c6,BCS,Spain,Grounded,0,8.23,3,Tuesday,2026-03-31 03:45:02
3424d4,VLG,Spain,Grounded,0,10.8,20,Sunday,2026-03-29 20:00:02
343385,IBS,Spain,Grounded,0,9.26,8,Friday,2026-04-10 08:00:02
343386,VLG,Spain,Grounded,0,9.26,7,Wednesday,2026-04-08 07:45:02
343386,VLG,Spain,Climbing,0,116.26,9,Wednesday,2026-04-08 09:30:02
344158,VLG,Spain,Grounded,0,8.75,19,Tuesday,2026-03-31 19:45:02
3443d5,VLG,Spain,Descending,0,64.6,20,Friday,2026-04-03 20:00:02
344416,IBS,Spain,Descending,0,66.14,8,Monday,2026-03-30 08:15:01
344416,IBS,Spain,Grounded,0,4.63,9,Monday,2026-03-30 09:30:01
344416,IBS,Spain,Grounded,0,11.83,8,Friday,2026-04-03 08:00:01
344455,IBS,Spain,Descending,0,66.65,7,Saturday,2026-04-04 07:45:02
34448d,IBS,Spain,Grounded,0,14.92,8,Sunday,2026-04-05 08:00:01
344498,IBS,Spain,Grounded,0,14.92,9,Thursday,2026-04-09 09:00:02
344644,VLG,Spain,Grounded,0,4.37,8,Tuesday,2026-04-07 08:00:02
344645,VLG,Spain,Grounded,0,11.83,8,Friday,2026-04-03 08:15:02
344696,VLG,Spain,Descending,0,74.43,8,Friday,2026-04-10 08:00:02
3451d3,VLG,Spain,Grounded,0,14.92,8,Monday,2026-03-30 08:15:01
3451d3,VLG,Spain,Climbing,0,105.52,9,Monday,2026-03-30 09:30:01
3451d4,VLG,Spain,Grounded,0,9.77,20,Sunday,2026-04-05 20:15:02
345686,IBS,Spain,Descending,0,66.09,7,Monday,2026-04-06 07:45:02
346355,VLG,Spain,Climbing,0,73.68,20,Wednesday,2026-04-01 20:45:01
34644b,IBS,Spain,Grounded,0,2.31,10,Sunday,2026-03-29 10:15:02
347255,BCS,Spain,Grounded,0,8.75,22,Sunday,2026-03-29 22:45:02
34768c,VLG,Spain,Grounded,0,10.8,18,Saturday,2026-03-28 18:45:01
3481c9,BCS,Spain,Descending,0,60.92,6,Tuesday,2026-04-07 06:15:02
392af4,AFR,France,Grounded,0,8.23,14,Saturday,2026-04-04 14:15:02
392af4,AFR,France,Climbing,0,82.35,15,Saturday,2026-04-04 15:45:02
394a0b,AFR,France,Level,0,254.36,7,Monday,2026-04-06 07:30:01
3964e0,TVF,France,Grounded,0,9.26,7,Friday,2026-04-03 07:15:02
398578,AFR,France,Grounded,0,10.29,17,Thursday,2026-04-02 17:30:02
398578,,France,Climbing,0,80.62,18,Thursday,2026-04-02 18:30:02
398579,AFR,France,Descending,0,63.58,7,Sunday,2026-04-05 07:00:02
39a201,FPO,France,Grounded,0,11.83,20,Sunday,2026-03-29 20:15:02
39a201,FPO,France,Climbing,0,121.22,21,Monday,2026-03-30 21:15:02
39a201,FPO,France,Grounded,0,10.29,20,Tuesday,2026-03-31 20:15:02
39a201,FPO,France,Climbing,0,105.26,21,Tuesday,2026-03-31 21:15:01
39a201,FPO,France,Descending,0,68.75,3,Wednesday,2026-04-01 03:45:02
39a201,FPO,France,Grounded,0,4.12,20,Thursday,2026-04-02 20:15:02
39a201,FPO,France,Grounded,0,0.0,20,Thursday,2026-04-02 20:30:03
39a201,FPO,France,Grounded,0,0.0,20,Thursday,2026-04-02 20:45:02
39a201,FPO,France,Grounded,0,7.46,3,Thursday,2026-04-09 03:45:01
39a201,FPO,France,Climbing,0,78.01,4,Thursday,2026-04-09 04:45:02
39a201,FPO,France,Grounded,0,10.29,20,Thursday,2026-04-09 20:15:01
39a201,,France,Grounded,0,5.4,4,Friday,2026-04-10 04:45:02
39a205,FPO,France,Descending,0,63.53,3,Tuesday,2026-04-07 03:45:02
39a205,FPO,France,Descending,0,64.09,20,Tuesday,2026-04-07 20:15:02
39a205,FPO,France,Grounded,0,10.29,3,Wednesday,2026-04-08 03:45:02
39a205,FPO,France,Climbing,0,73.78,4,Wednesday,2026-04-08 04:45:02
39a205,FPO,France,Grounded,0,7.72,20,Wednesday,2026-04-08 20:15:02
39bb21,AFR,France,Grounded,0,14.92,7,Wednesday,2026-04-01 07:15:02
39bb23,AFR,France,Grounded,0,5.14,7,Monday,2026-03-30 07:45:02
39bda0,AFR,France,Descending,0,56.87,21,Thursday,2026-04-09 21:30:01
39bda9,AFR,France,Grounded,0,12.35,14,Wednesday,2026-04-08 14:30:02
39bdab,AFR,France,Grounded,0,10.8,14,Thursday,2026-04-09 14:15:01
39bdac,AFR,France,Grounded,0,13.38,21,Tuesday,2026-03-31 21:30:02
39bdac,AFR,France,Descending,0,62.5,14,Tuesday,2026-04-07 14:30:02
39bdac,AFR,France,Climbing,0,110.48,15,Tuesday,2026-04-07 15:45:02
39bdb3,AFR,France,Descending,0,56.36,14,Sunday,2026-03-29 14:30:01
39bdb4,AFR,France,Climbing,0,93.01,5,Monday,2026-04-06 05:30:02
39bdb7,AFR,France,Climbing,0,61.53,18,Thursday,2026-04-09 18:30:02
39bdb8,AFR,France,Descending,0,57.85,14,Friday,2026-04-03 14:30:02
39bdb8,AFR,France,Climbing,0,71.34,15,Friday,2026-04-03 15:45:02
39c422,AFR,France,Level,0,296.63,2,Monday,2026-03-30 02:15:01
39ce41,VLJ,France,Descending,0,61.02,15,Monday,2026-03-30 15:00:02
39ce41,VLJ,France,Climbing,0,86.05,16,Monday,2026-03-30 16:00:02
39ceaa,TVF,France,Descending,0,74.89,7,Friday,2026-04-10 07:30:02
39d301,TVF,France,Grounded,0,18.52,18,Thursday,2026-04-02 18:00:01
39d304,TVF,France,Grounded,0,13.89,18,Thursday,2026-04-09 18:00:02
39de4b,TVF,France,Grounded,0,4.12,10,Sunday,2026-04-05 10:30:02
39de50,TVF,France,Grounded,0,10.8,10,Sunday,2026-03-29 10:15:02
39e680,AFR,France,Grounded,0,14.92,17,Tuesday,2026-03-31 17:30:02
39e681,AFR,France,Descending,0,67.12,7,Monday,2026-04-06 07:15:01
39e681,,France,Grounded,0,6.17,8,Monday,2026-04-06 08:30:02
39e682,AFR,France,Grounded,0,8.75,22,Sunday,2026-03-29 22:00:01
39e682,AFR,France,Grounded,0,10.8,22,Monday,2026-03-30 22:00:01
39e682,AFR,France,Grounded,0,13.89,7,Friday,2026-04-03 07:15:02
39e683,AFR,France,Grounded,0,13.38,21,Wednesday,2026-04-08 21:45:02
39e683,,France,Grounded,0,25.72,6,Thursday,2026-04-09 06:15:02
39e686,AFR,France,Descending,0,63.53,7,Tuesday,2026-04-07 07:15:01
39e686,AFR,France,Grounded,0,11.32,7,Friday,2026-04-10 07:15:02
39e689,AFR,France,Grounded,0,5.92,14,Wednesday,2026-04-01 14:45:01
39e68a,AFR,France,Grounded,0,12.35,15,Monday,2026-03-30 15:00:02
39e68a,AFR,France,Descending,0,63.02,14,Sunday,2026-04-05 14:15:02
39e68a,AFR,France,Descending,0,56.31,7,Thursday,2026-04-09 07:00:01
39e68c,AFR,France,Descending,0,57.33,7,Sunday,2026-03-29 07:15:01
39e68d,AFR,France,Climbing,0,96.18,5,Tuesday,2026-04-07 05:30:01
39e692,AFR,France,Grounded,0,11.83,21,Friday,2026-04-03 21:45:01
39e692,AFR,France,Grounded,0,5.66,5,Saturday,2026-04-04 05:45:01
39e694,AFR,France,Grounded,0,12.35,17,Wednesday,2026-04-08 17:15:01
39e695,AFR,France,Grounded,0,8.75,7,Thursday,2026-04-02 07:15:02
39e698,AFR,France,Grounded,0,10.8,15,Saturday,2026-03-28 15:30:02
39e698,AFR,France,Descending,0,48.75,21,Saturday,2026-04-04 21:30:02
3c10aa,VJH,Germany,Climbing,0,74.38,15,Sunday,2026-03-29 15:30:02
3c1bad,BCS,Germany,Grounded,0,9.77,3,Tuesday,2026-03-31 03:30:02
3c1bad,BCS,Germany,Grounded,0,5.92,5,Tuesday,2026-03-31 05:00:02
3c1bae,BCS,Germany,Grounded,0,10.8,3,Friday,2026-04-03 03:00:02
3c1bae,BCS,Germany,Grounded,0,1.29,21,Friday,2026-04-03 21:45:01
3c4585,BOX,Germany,Level,0,243.33,21,Tuesday,2026-03-31 21:30:02
3c4587,BOX,Germany,Level,0,252.06,18,Monday,2026-04-06 18:45:01
3c4588,BOX,Germany,Level,0,258.87,18,Wednesday,2026-04-08 18:00:02
3c4b49,EWG,Germany,Descending,0,64.0,13,Thursday,2026-04-09 13:30:02
3c5428,BCS,Germany,Descending,0,65.58,5,Saturday,2026-04-04 05:45:01
3c5428,BCS,Germany,Grounded,0,6.69,7,Saturday,2026-04-04 07:15:01
3c5428,BCS,Germany,Grounded,0,5.4,5,Thursday,2026-04-09 05:00:02
3c5429,BCS,Germany,Grounded,0,10.29,3,Friday,2026-04-10 03:15:02
3c542a,BCS,Germany,Descending,0,61.95,3,Wednesday,2026-04-08 03:00:02
